store_id,name,address_line1,city,region,Product Name,Price,Price Per Count,Primary Location Name,Available Quantity,Order Pickup
1521,Niskayuna,428 Balltown Rd,Schenectady,NY,Grade A Large Eggs - 18ct - Good & Gather™ (Packaging May Vary),$5.79 ,$0.32 ,Niskayuna,10,IN_STOCK
1246,Sturgeon Bay,410 S Ashland Ave,Sturgeon Bay,WI,Grade A Large Eggs - 18ct - Good & Gather™ (Packaging May Vary),$5.79 ,$0.32 ,Sturgeon Bay,10,IN_STOCK
26,Ballwin,15025 Manchester Rd,Ballwin,MO,Grade A Large Eggs - 18ct - Good & Gather™ (Packaging May Vary),$5.79 ,$0.32 ,Ballwin,10,IN_STOCK
2530,Greenland,1450 Greenland Rd,Greenland,NH,Grade A Large Eggs - 18ct - Good & Gather™ (Packaging May Vary),$5.79 ,$0.32 ,Greenland,10,IN_STOCK
1456,Rogers Diamond Lake Road,21615 S Diamond Lake Rd,Rogers,MN,Grade A Large Eggs - 18ct - Good & Gather™ (Packaging May Vary),$5.79 ,$0.32 ,Rogers Diamond Lake Road,10,IN_STOCK
966,Huntersville,9801 Sam Furr Rd,Huntersville,NC,Grade A Large Eggs - 18ct - Good & Gather™ (Packaging May Vary),$5.79 ,$0.32 ,Huntersville,10,IN_STOCK
1539,Shiloh,3400 Green Mount Crossing Dr,Shiloh,IL,Grade A Large Eggs - 18ct - Good & Gather™ (Packaging May Vary),$5.79 ,$0.32 ,Shiloh,10,IN_STOCK
2068,Waterford Park,1125 Veterans Pkwy,Clarksville,IN,Grade A Large Eggs - 18ct - Good & Gather™ (Packaging May Vary),$5.79 ,$0.32 ,Waterford Park,10,IN_STOCK
2141,Union North,2235 Springfield Ave,Vauxhall,NJ,Grade A Large Eggs - 18ct - Good & Gather™ (Packaging May Vary),$5.79 ,$0.32 ,Union North,10,IN_STOCK
2333,Sandy Springs Prado,5570 Roswell Rd,Sandy Springs,GA,Grade A Large Eggs - 18ct - Good & Gather™ (Packaging May Vary),$5.79 ,$0.32 ,Sandy Springs Prado,10,IN_STOCK
2557,Blue Ash,9099 Plainfield Rd,Blue Ash,OH,Grade A Large Eggs - 18ct - Good & Gather™ (Packaging May Vary),$5.79 ,$0.32 ,Blue Ash,10,IN_STOCK
1478,Barboursville,2070 Thundering Herd Rd,Barboursville,WV,Grade A Large Eggs - 18ct - Good & Gather™ (Packaging May Vary),$5.79 ,$0.32 ,Barboursville,10,IN_STOCK
2491,Sun Prairie,660 S Grand Ave,Sun Prairie,WI,Grade A Large Eggs - 18ct - Good & Gather™ (Packaging May Vary),$5.79 ,$0.32 ,Sun Prairie,10,IN_STOCK
1397,Quail Springs,13924 N Pennsylvania Ave,Oklahoma City,OK,Grade A Large Eggs - 18ct - Good & Gather™ (Packaging May Vary),$5.79 ,$0.32 ,Quail Springs,10,IN_STOCK
2887,Southern Pines,305 Carolina Green Pkwy,Southern PInes,NC,Grade A Large Eggs - 18ct - Good & Gather™ (Packaging May Vary),$5.79 ,$0.32 ,Southern Pines,10,IN_STOCK
2903,Sevierville,840 Winfield Dunn Pkwy,Sevierville,TN,Grade A Large Eggs - 18ct - Good & Gather™ (Packaging May Vary),$5.79 ,$0.32 ,Sevierville,10,IN_STOCK
1454,Cape Coral,2430 Santa Barbara Blvd,Cape Coral,FL,Grade A Large Eggs - 18ct - Good & Gather™ (Packaging May Vary),$5.79 ,$0.32 ,Cape Coral,10,IN_STOCK
1051,Gandy,3625 W Gandy Blvd,Tampa,FL,Grade A Large Eggs - 18ct - Good & Gather™ (Packaging May Vary),$5.79 ,$0.32 ,Gandy,10,IN_STOCK
1063,Carmel East 151st Street,1600 E 151st Street,Carmel,IN,Grade A Large Eggs - 18ct - Good & Gather™ (Packaging May Vary),$5.79 ,$0.32 ,Carmel East 151st Street,10,IN_STOCK
1252,Dayton South,2300 Miamisburg Centerville Rd,Dayton,OH,Grade A Large Eggs - 18ct - Good & Gather™ (Packaging May Vary),$5.79 ,$0.32 ,Dayton South,10,IN_STOCK
2121,Marietta East,1401 Johnson Ferry Rd,Marietta,GA,Grade A Large Eggs - 18ct - Good & Gather™ (Packaging May Vary),$5.79 ,$0.32 ,Marietta East,10,IN_STOCK
665,Sarasota Tamiami Trail,8401 S Tamiami Trl,Sarasota,FL,Grade A Large Eggs - 18ct - Good & Gather™ (Packaging May Vary),$5.79 ,$0.32 ,Sarasota Tamiami Trail,10,IN_STOCK
929,Peru,4370 Venture Dr,Peru,IL,Grade A Large Eggs - 18ct - Good & Gather™ (Packaging May Vary),$5.79 ,$0.32 ,Peru,8,IN_STOCK
747,Lawrenceville,875 Lawrenceville Suwanee Rd,Lawrenceville,GA,Grade A Large Eggs - 18ct - Good & Gather™ (Packaging May Vary),$5.79 ,$0.32 ,Lawrenceville,10,IN_STOCK
1132,Turnersville,4001 Black Horse Pike,Turnersville,NJ,Grade A Large Eggs - 18ct - Good & Gather™ (Packaging May Vary),$5.79 ,$0.32 ,Turnersville,10,IN_STOCK
1880,Kohler,4085 State Highway 28,Sheboygan Falls,WI,Grade A Large Eggs - 18ct - Good & Gather™ (Packaging May Vary),$5.79 ,$0.32 ,Kohler,10,IN_STOCK
